SA2_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
604011077,147,260,219,232,163,171,149,215,28,1581
604011078,292,615,350,451,357,283,207,331,33,2926
604011079,301,490,429,348,256,208,205,252,39,2524
604011080,133,235,257,231,209,178,159,222,22,1642
604011081,129,270,256,223,192,195,166,232,32,1676
604011082,295,429,442,434,329,258,228,390,56,2862
604011083,178,242,255,254,166,159,170,260,36,1721
604011084,274,378,407,376,261,228,229,280,55,2496
604021085,574,885,860,1003,648,646,424,911,114,6077
604021086,176,196,263,272,157,187,150,413,43,1853
604021087,311,280,392,334,225,241,213,345,45,2377
604021088,200,293,302,262,193,186,128,217,27,1808
604021089,401,477,430,375,293,261,215,299,49,2803
604021090,167,231,310,200,193,145,129,174,26,1573
604021091,402,335,509,332,282,185,290,420,62,2818
604021092,235,376,253,223,163,149,127,173,40,1740
604031093,206,77,110,61,80,46,45,187,20,838
604031094,504,194,203,177,139,114,165,406,41,1937
604031095,232,147,205,191,152,134,196,413,28,1689
604031096,293,254,252,204,154,99,173,194,36,1657
604031097,166,156,256,214,128,108,249,276,36,1588
604031098,0,0,0,0,0,0,0,0,0,0
697979799,0,0,0,0,0,0,0,5,0,12
699999499,24,50,48,39,27,21,37,50,11,309
701011001,4,3,5,0,4,0,0,0,0,16
701011002,751,1234,545,769,608,282,171,341,103,4794
701011003,0,0,0,0,0,0,0,0,0,0
701011004,368,663,195,254,245,128,63,94,37,2047
701011005,461,617,303,393,296,143,63,157,43,2476
701011006,176,291,187,209,178,78,57,87,18,1281
701011007,295,494,172,196,222,112,60,81,29,1656
701011008,415,650,344,361,360,176,105,218,48,2661
701011009,343,525,231,236,267,93,64,77,28,1858
701021010,98,249,133,151,125,68,68,105,17,1005
701021011,147,252,141,163,189,77,61,112,24,1173
701021012,89,139,102,171,99,69,32,71,24,791
701021013,189,512,220,332,218,164,93,148,32,1909
701021014,0,0,0,0,0,0,0,0,0,0
701021015,0,0,0,0,0,0,0,0,0,0
701021016,157,373,186,254,177,133,78,153,18,1525
701021017,9,3,0,0,0,0,0,0,0,18
701021018,120,257,131,103,120,57,34,77,17,916
701021019,216,356,353,299,348,202,132,246,44,2197
701021020,294,603,310,283,387,177,126,184,28,2396
701021021,430,988,395,570,356,182,96,141,54,3219
701021022,241,393,294,251,339,151,101,194,48,2009
701021023,115,329,168,226,168,115,75,134,28,1362
701021024,113,200,149,131,128,78,59,109,20,989
701021025,266,803,229,343,253,142,88,135,43,2305
701021026,243,755,166,244,192,112,74,124,38,1953
701021027,125,396,131,122,153,74,60,74,19,1156
701021028,109,170,148,160,142,86,44,125,23,1004
701021029,112,243,106,110,113,81,60,83,16,928
701021030,137,254,187,164,189,83,47,110,24,1191
701031031,298,284,449,453,326,129,170,147,61,2321
701031032,671,635,954,438,732,275,356,397,95,4564
701031033,0,0,0,0,0,0,0,0,0,0
701031034,255,255,305,218,262,121,121,159,29,1723
701031035,313,248,378,171,269,88,205,202,54,1931
701041036,162,246,286,235,317,138,127,170,30,1713
701041037,146,224,228,208,194,111,115,162,36,1418
701041038,378,478,409,390,417,170,144,158,46,2592
701041039,134,173,222,192,213,125,125,142,27,1354
701041040,99,125,206,178,184,105,87,129,27,1136
701041041,274,367,386,419,412,211,164,175,49,2468
701041042,379,628,563,712,541,277,190,231,71,3588
701041043,386,545,571,601,571,279,183,227,70,3435
701041044,155,219,305,226,238,129,124,128,32,1556
702011045,286,485,279,342,293,119,93,141,55,2104
702011046,357,820,323,541,329,163,91,192,74,2892
702011047,269,488,344,469,299,193,88,199,59,2409
702011048,300,654,325,492,371,181,97,176,71,2662
